Absolute3DLocalizationElement :: Absolute3DLocalizationElement ( )	Absolute3DLocalizationElement :: Absolute3DLocalizationElement ( )
double var = 0.0 ; tf :: Vector3 var = T_ . getOrigin ( ) ; double var = 0.0 ; double var = 0.0 ; ROS_ERROR ( "" "" , this -> getTimestamp ( ) . toSec , var . x ( ) , var . y ( ) , var . z ( ) , var , var , var )	double var = 0.0 ; tf2 :: Vector3 var = T_ . getOrigin ( ) ; double var = 0.0 ; double var = 0.0 ; ROS_ERROR ( "" "" , swri :: toSec ( this -> getTimestamp ( ) ) -> getTimestamp ( ) , var . x ( ) , var . y ( ) , var . z ( ) , var , var , var )
void Absolute3DLocalizationElement :: set_position_data ( const tf :: Transform * var )	void Absolute3DLocalizationElement :: set_position_data ( const tf2 :: Transform * var )
const tf :: Transform * var ; T_ = var	const tf2 :: Transform * var ; T_ = var
const int32_t var = 6	const int32_t var = 6
const int32_t var = 6 ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 )	const int32_t var = 6 ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 )
const tf :: Transform * var ; tf :: Vector3 var = var . getOrigin ( )	const tf2 :: Transform * var ; tf2 :: Vector3 var = var . getOrigin ( )
tf :: Vector3 var = var . getOrigin ( ) ; X_ ( 0 ) = var . x ( )	tf2 :: Vector3 var = var . getOrigin ( ) ; X_ ( 0 ) = var . x ( )
tf :: Vector3 var = var . getOrigin ( ) ; X_ ( 1 ) = var . y ( )	tf2 :: Vector3 var = var . getOrigin ( ) ; X_ ( 1 ) = var . y ( )
tf :: Vector3 var = var . getOrigin ( ) ; X_ ( 2 ) = var . z ( )	tf2 :: Vector3 var = var . getOrigin ( ) ; X_ ( 2 ) = var . z ( )
const tf :: Transform * var ; var . getBasis ( ) . getRPY ( X_ ( 5 ) , X_ ( 4 ) , X_ ( 3 ) )	const tf2 :: Transform * var ; var . getBasis ( ) . getRPY ( X_ ( 5 ) , X_ ( 4 ) , X_ ( 3 ) )
X_ ( 3 ) = sumet_util :: MathUtil :: FixAngle0to2Pi ( X_ ( 3 ) )	X_ ( 3 ) = sumet_util :: MathUtil :: FixAngle0to2Pi ( X_ ( 3 ) )
X_ ( 4 ) = sumet_util :: MathUtil :: FixAngleMinusPitoPi ( X_ ( 4 ) )	X_ ( 4 ) = sumet_util :: MathUtil :: FixAngleMinusPitoPi ( X_ ( 4 ) )
X_ ( 5 ) = sumet_util :: MathUtil :: FixAngleMinusPitoPi ( X_ ( 5 ) )	X_ ( 5 ) = sumet_util :: MathUtil :: FixAngleMinusPitoPi ( X_ ( 5 ) )
LaGenMatDouble Absolute3DLocalizationElement :: getHk ( )	LaGenMatDouble Absolute3DLocalizationElement :: getHk ( )
LaGenMatDouble var = Cov_ . var ( ) ; LaGenMatDouble var = Cov_ . var ( )	LaGenMatDouble var = Cov_ . var ( ) ; LaGenMatDouble var = Cov_ . var ( )
int var = 0	int var = 0
int var = 0 ; LaGenMatDouble var = Cov_ . var ( ) ; for ( int var = 0 ; var < var . rows ( ) ; var ++ )	LaGenMatDouble var = Cov_ . var ( ) ; int var = 0 ; for ( int var = 0 ; var < var . rows ( ) ; var ++ )
int var = 0 ; LaGenMatDouble var = Cov_ . var ( ) ; int var = 0 ; if ( var ( var , 0 ) < 1e12 ++ )	LaGenMatDouble var = Cov_ . var ( ) ; int var = 0 ; int var = 0 ; if ( var ( var , 0 ) < 1e12 ++ )
var ++	var ++
int var = 0 ; LaGenMatDouble var = Cov_ . var ( ) ; LaGenMatDouble var = LaGenMatDouble :: zeros ( var , var . rows ( ) )	LaGenMatDouble var = Cov_ . var ( ) ; int var = 0 ; LaGenMatDouble var = LaGenMatDouble :: zeros ( var , var . rows ( ) )
int var = 0	int var = 0
int var = 0 ; LaGenMatDouble var = Cov_ . var ( ) ; int var = 0 ; for ( int var = 0 ; var < var . rows ( ) ; var ++ )	LaGenMatDouble var = Cov_ . var ( ) ; int var = 0 ; int var = 0 ; for ( int var = 0 ; var < var . rows ( ) ; var ++ )
LaGenMatDouble var = Cov_ . var ( ) ; int var = 0 ; int var = 0 ; if ( var ( var , 0 ) < 1e12 )	LaGenMatDouble var = Cov_ . var ( ) ; int var = 0 ; int var = 0 ; if ( var ( var , 0 ) < 1e12 )
LaGenMatDouble var = LaGenMatDouble :: zeros ( var , var . rows ( ) ) ; int var = 0 ; int var = 0 ; int var = 0 ; var ( var , var ) = 1.0	int var = 0 ; int var = 0 ; int var = 0 ; LaGenMatDouble var = LaGenMatDouble :: zeros ( var , var . rows ( ) ) ; var ( var , var ) = 1.0
int var = 0 ; var ++	int var = 0 ; var ++
AstraDriver :: AstraDriver ( ros :: NodeHandle * var , ros :: NodeHandle * var ) : nh_ ( n ) , pnh_ ( pnh ) , device_manager_ ( AstraDeviceManager :: getSingelton ( ) ) , config_init_ ( false ) , data_skip_ir_counter_ ( 0 ) , data_skip_color_counter_ ( 0 ) , data_skip_depth_counter_ ( 0 ) , ir_subscribers_ ( false ) , color_subscribers_ ( false ) , depth_subscribers_ ( false ) , depth_raw_subscribers_ ( false )	AstraDriver :: AstraDriver ( rclcpp :: Node :: SharedPtr * var , rclcpp :: Node :: SharedPtr * var , size_t var , size_t var , double var , size_t var , size_t var , double var , PixelFormat var ) : nh_ ( n ) , pnh_ ( pnh ) , device_manager_ ( AstraDeviceManager :: getSingelton ( ) ) , config_init_ ( false ) , color_frame_id_ ( "" ) , depth_frame_id_ ( "" ) , depth_registration_ ( false ) , data_skip_ir_counter_ ( 0 ) , data_skip_color_counter_ ( 0 ) , data_skip_depth_counter_ ( 0 ) , ir_subscribers_ ( false ) , color_subscribers_ ( false ) , depth_subscribers_ ( false ) , depth_raw_subscribers_ ( false ) , can_publish_ir_ ( true ) , can_publish_color_ ( true ) , can_publish_depth_ ( true )
int var , var	int var , var
var ; if ( var > 1 )	var ; if ( var > 1 )
int var	int var
char * var = NULL	char * var = NULL
int var ; if ( var == 1 )	int var ; if ( var == 1 )
int var ; if ( ( var = shmget ( ( key_t ) 0401 , 1 , 0666 | IPC_CREAT ) ) == - 1 )	int var ; if ( ( var = shmget ( ( key_t ) 0401 , 1 , 0666 | IPC_CREAT ) ) == - 1 )
ROS_ERROR ( "" , strerror ( errno ) )	ROS_ERROR ( "" , strerror ( errno ) )
char * var = NULL ; int var ; var = ( char * ) shmat ( var , 0 , 0 )	int var ; char * var = NULL ; var = ( char * ) shmat ( var , 0 , 0 )
char * var = NULL ; * var = 1	char * var = NULL ; * var = 1
ROS_WARN ( "" , device_id_ . c_str ( ) )	ROS_WARN ( "" , device_id_ . c_str ( ) )
char * var = NULL ; * var = 2	char * var = NULL ; * var = 2
int var ; if ( ( var = shmget ( ( key_t ) 0401 , 1 , 0666 | IPC_CREAT ) ) == - 1 )	int var ; if ( ( var = shmget ( ( key_t ) 0401 , 1 , 0666 | IPC_CREAT ) ) == - 1 )
ROS_ERROR ( "" , strerror ( errno ) )	ROS_ERROR ( "" , strerror ( errno ) )
char * var = NULL ; int var ; var = ( char * ) shmat ( var , 0 , 0 )	int var ; char * var = NULL ; var = ( char * ) shmat ( var , 0 , 0 )
char * var = NULL ; int var ; while ( * var != var )	char * var = NULL ; int var ; while ( * var != var )
ROS_WARN ( "" , device_id_ . c_str ( ) )	ROS_WARN ( "" , device_id_ . c_str ( ) )
char * var = NULL ; int var ; * var = ( var + 1 )	char * var = NULL ; int var ; * var = ( var + 1 )
int var ; if ( var == 1 )	int var ; if ( var == 1 )
char * var = NULL ; var ; while ( * var != ( var + 1 ) )	char * var = NULL ; var ; while ( * var != ( var + 1 ) )
char * var = NULL ; if ( shmdt ( var ) == - 1 )	char * var = NULL ; if ( shmdt ( var ) == - 1 )
ROS_ERROR ( "" )	ROS_ERROR ( "" )
int var ; if ( shmctl ( var , IPC_RMID , 0 ) == - 1 )	int var ; if ( shmctl ( var , IPC_RMID , 0 ) == - 1 )
ROS_ERROR ( "" )	ROS_ERROR ( "" )
char * var = NULL ; if ( shmdt ( var ) == - 1 )	char * var = NULL ; if ( shmdt ( var ) == - 1 )
ROS_ERROR ( "" )	ROS_ERROR ( "" )
void AstraDriver :: advertiseROSTopics ( )	void AstraDriver :: advertiseROSTopics ( )
boost :: lock_guard < boost :: mutex > var ( connect_mutex_ )	boost :: lock_guard < boost :: mutex > var ( connect_mutex_ )
if ( device_ -> hasColorSensor ( ) )	if ( device_ -> hasColorSensor ( ) )
if ( device_ -> hasIRSensor ( ) )	if ( device_ -> hasIRSensor ( ) )
if ( device_ -> hasDepthSensor ( ) )	if ( device_ -> hasDepthSensor ( ) )
std :: string var = device_ -> getStringID ( )	std :: string var = device_ -> getStringID ( )
std :: string var , var	std :: string var , var
std :: string var ; std :: string var = device_ -> getStringID ( ) ; var = "" + var	std :: string var = device_ -> getStringID ( ) ; std :: string var ; var = "" + var
std :: string var = device_ -> getStringID ( ) ; var ; var = "" + var	std :: string var = device_ -> getStringID ( ) ; var ; var = "" + var
std :: string var ; ros :: NodeHandle var ( nh_ , "" ) ; color_info_manager_ = boost :: make_shared < camera_info_manager :: CameraInfoManager > ( var , var , color_info_url_ )	pub_depth_raw_ = nh_ -> create_publisher < sensor_msgs :: msg :: Image > ( "" , rmw_qos_profile_sensor_data )
ros :: NodeHandle var ( nh_ , "" ) ; var ; ir_info_manager_ = boost :: make_shared < camera_info_manager :: CameraInfoManager > ( var , var , ir_info_url_ )	pub_depth_camera_info_ = nh_ -> create_publisher < sensor_msgs :: msg :: CameraInfo > ( "" , rmw_qos_profile_sensor_data )
void AstraDriver :: configCb ( Config & var , uint32_t var )	void AstraDriver :: irAttemptStream ( )
void AstraDriver :: setIRVideoMode ( const AstraVideoMode & var )	void AstraDriver :: setIRVideoMode ( const AstraVideoMode & var )
const AstraVideoMode & var ; if ( device_ -> isIRVideoModeSupported ( var ) )	const AstraVideoMode & var ; if ( device_ -> isIRVideoModeSupported ( var ) )
const AstraVideoMode & var ; if ( var != device_ -> getIRVideoMode ( ) )	const AstraVideoMode & var ; if ( var != device_ -> getIRVideoMode ( ) )
const AstraVideoMode & var ; device_ -> setIRVideoMode ( var )	const AstraVideoMode & var ; device_ -> setIRVideoMode ( var )
const AstraVideoMode & var ; ROS_ERROR_STREAM ( "" << var )	const AstraVideoMode & var ; ROS_ERROR_STREAM ( "" << var )
void AstraDriver :: setColorVideoMode ( const AstraVideoMode & var )	void AstraDriver :: setColorVideoMode ( const AstraVideoMode & var )
const AstraVideoMode & var ; if ( device_ -> isColorVideoModeSupported ( var ) )	const AstraVideoMode & var ; if ( device_ -> isColorVideoModeSupported ( var ) )
const AstraVideoMode & var ; if ( var != device_ -> getColorVideoMode ( ) )	const AstraVideoMode & var ; if ( var != device_ -> getColorVideoMode ( ) )
const AstraVideoMode & var ; device_ -> setColorVideoMode ( var )	const AstraVideoMode & var ; device_ -> setColorVideoMode ( var )
const AstraVideoMode & var ; ROS_ERROR_STREAM ( "" << var )	const AstraVideoMode & var ; ROS_ERROR_STREAM ( "" << var )
void AstraDriver :: setDepthVideoMode ( const AstraVideoMode & var )	void AstraDriver :: setDepthVideoMode ( const AstraVideoMode & var )
const AstraVideoMode & var ; if ( device_ -> isDepthVideoModeSupported ( var ) )	const AstraVideoMode & var ; if ( device_ -> isDepthVideoModeSupported ( var ) )
const AstraVideoMode & var ; if ( var != device_ -> getDepthVideoMode ( ) )	const AstraVideoMode & var ; if ( var != device_ -> getDepthVideoMode ( ) )
const AstraVideoMode & var ; device_ -> setDepthVideoMode ( var )	const AstraVideoMode & var ; device_ -> setDepthVideoMode ( var )
const AstraVideoMode & var ; ROS_ERROR_STREAM ( "" << var )	const AstraVideoMode & var ; ROS_ERROR_STREAM ( "" << var )
device_ -> setImageRegistrationMode ( depth_registration_ )	pnh_ -> get_parameter ( "" , depth_registration_ )
device_ -> setDepthColorSync ( color_depth_synchronization_ )	sensor_msgs :: msg :: Image :: SharedPtr image ; pub_ir_ -> publish ( var )
void AstraDriver :: colorConnectCb ( )	void AstraDriver :: colorConnectCb ( )
if ( device_ -> isIRStreamStarted ( ) )	if ( device_ -> isIRStreamStarted ( ) )
ROS_ERROR ( "" )	ROS_ERROR ( "" )
ROS_INFO ( "" )	ROS_INFO ( "" )
device_ -> stopIRStream ( )	device_ -> stopIRStream ( )
device_ -> setColorFrameCallback ( boost :: bind ( & AstraDriver :: newColorFrameCallback , this , _1 ) AstraDriver :: newColorFrameCallback , this , _1 )	device_ -> setColorFrameCallback ( boost :: bind ( & AstraDriver :: newColorFrameCallback , this , _1 ) AstraDriver :: newColorFrameCallback , this , _1 )
ROS_INFO ( "" )	ROS_INFO ( "" )
device_ -> startColorStream ( )	device_ -> startColorStream ( )
if ( ! color_subscribers_ && device_ -> isColorStreamStarted ( ) )	if ( ! device_ -> isIRStreamStarted ( )  )
ROS_INFO ( "" )	ROS_INFO ( "" )
device_ -> stopColorStream ( )	device_ -> stopColorStream ( )
bool var = pub_ir_ . getNumSubscribers ( ) > 0 ; if ( var && ! device_ -> isIRStreamStarted ( ) )	if ( can_publish_ir_ )
device_ -> setIRFrameCallback ( boost :: bind ( & AstraDriver :: newIRFrameCallback , this , _1 ) AstraDriver :: newIRFrameCallback , this , _1 )	device_ -> setIRFrameCallback ( boost :: bind ( & AstraDriver :: newIRFrameCallback , this , _1 ) AstraDriver :: newIRFrameCallback , this , _1 )
ROS_INFO ( "" )	ROS_INFO ( "" )
device_ -> startIRStream ( )	device_ -> startIRStream ( )
void AstraDriver :: depthConnectCb ( )	void AstraDriver :: depthConnectCb ( )
device_ -> setDepthFrameCallback ( boost :: bind ( & AstraDriver :: newDepthFrameCallback , this , _1 ) AstraDriver :: newDepthFrameCallback , this , _1 )	device_ -> setDepthFrameCallback ( boost :: bind ( & AstraDriver :: newDepthFrameCallback , this , _1 ) AstraDriver :: newDepthFrameCallback , this , _1 )
ROS_INFO ( "" )	ROS_INFO ( "" )
device_ -> startDepthStream ( )	device_ -> startDepthStream ( )
bool var = depth_subscribers_ || depth_raw_subscribers_ ; if ( ! var && device_ -> isDepthStreamStarted ( ) )	if ( device_ -> isDepthStreamStarted ( ) )
ROS_INFO ( "" )	ROS_INFO ( "" )
device_ -> stopDepthStream ( )	device_ -> stopDepthStream ( )
void AstraDriver :: irConnectCb ( )	void AstraDriver :: irConnectCb ( )
ROS_ERROR ( "" )	ROS_ERROR ( "" )
device_ -> startIRStream ( )	irAttemptStream
if ( ! ir_subscribers_ && device_ -> isIRStreamStarted ( ) )	if ( device_ -> isIRStreamStarted ( ) )
ROS_INFO ( "" )	ROS_INFO ( "" )
device_ -> stopIRStream ( )	device_ -> stopIRStream ( )
void AstraDriver :: newIRFrameCallback ( sensor_msgs :: ImagePtr var )	void AstraDriver :: newIRFrameCallback ( sensor_msgs :: msg :: Image :: SharedPtr var )
data_skip_ir_counter_ = 0	data_skip_ir_counter_ = 0
sensor_msgs :: ImagePtr var ; var -> header . frame_id = ir_frame_id_	sensor_msgs :: msg :: Image :: SharedPtr var ; var -> header . frame_id = ir_frame_id_
sensor_msgs :: ImagePtr var ; pub_ir_ . publish ( var , getIRCameraInfo ( var -> width , var -> height , var -> header . stamp ) -> width , var -> height , var -> header . stamp )	sensor_msgs :: msg :: Image :: SharedPtr image ; pub_depth_camera_info_ -> publish ( getDepthCameraInfo ( var -> width , var -> height , var -> header . stamp ) -> width , var -> height , var -> header . stamp )
void AstraDriver :: newColorFrameCallback ( sensor_msgs :: ImagePtr var )	void AstraDriver :: newColorFrameCallback ( sensor_msgs :: msg :: Image :: SharedPtr var )
data_skip_color_counter_ = 0	data_skip_color_counter_ = 0
sensor_msgs :: ImagePtr var ; var -> header . frame_id = color_frame_id_	sensor_msgs :: msg :: Image :: SharedPtr var ; var -> header . frame_id = color_frame_id_
void AstraDriver :: newDepthFrameCallback ( sensor_msgs :: ImagePtr var )	void AstraDriver :: newDepthFrameCallback ( sensor_msgs :: msg :: Image :: SharedPtr var )
data_skip_depth_counter_ = 0	data_skip_depth_counter_ = 0
if ( z_offset_mm_ != 0 )	if ( z_offset_mm_ != 0 )
sensor_msgs :: ImagePtr var ; unsigned int var = 0 ; for ( unsigned int var = 0 ; var < var -> width * var -> height ; ++ var )	unsigned int var = 0 ; sensor_msgs :: msg :: Image :: SharedPtr var ; for ( unsigned int var = 0 ; var < var -> width * var -> height ; ++ var )
if ( fabs ( z_scaling_ - 1.0 ) > 1e-6 )	if ( fabs ( z_scaling_ - 1.0 ) > 1e-6 )
sensor_msgs :: ImagePtr var ; unsigned int var = 0 ; for ( unsigned int var = 0 ; var < var -> width * var -> height ; ++ var )	unsigned int var = 0 ; sensor_msgs :: msg :: Image :: SharedPtr var ; for ( unsigned int var = 0 ; var < var -> width * var -> height ; ++ var )
sensor_msgs :: CameraInfoPtr var	sensor_msgs :: msg :: CameraInfo :: SharedPtr var
sensor_msgs :: ImagePtr var ; var -> header . frame_id = color_frame_id_	sensor_msgs :: msg :: Image :: SharedPtr var ; var -> header . frame_id = color_frame_id_
sensor_msgs :: ImagePtr var ; sensor_msgs :: CameraInfoPtr var ; var = getColorCameraInfo ( var -> width , var -> height , var -> header . stamp )	sensor_msgs :: msg :: CameraInfo :: SharedPtr var ; sensor_msgs :: msg :: Image :: SharedPtr var ; var = getColorCameraInfo ( var -> width , var -> height , var -> header . stamp )
sensor_msgs :: ImagePtr var ; var -> header . frame_id = depth_frame_id_	sensor_msgs :: msg :: Image :: SharedPtr var ; var -> header . frame_id = depth_frame_id_
sensor_msgs :: ImagePtr var ; sensor_msgs :: CameraInfoPtr var ; var = getDepthCameraInfo ( var -> width , var -> height , var -> header . stamp )	sensor_msgs :: msg :: CameraInfo :: SharedPtr var ; sensor_msgs :: msg :: Image :: SharedPtr var ; var = getDepthCameraInfo ( var -> width , var -> height , var -> header . stamp )
sensor_msgs :: ImagePtr var ; sensor_msgs :: ImageConstPtr var = rawToFloatingPointConversion ( var )	sensor_msgs :: msg :: Image :: SharedPtr var ; sensor_msgs :: msg :: Image :: SharedPtr var = rawToFloatingPointConversion ( var )
sensor_msgs :: CameraInfoPtr AstraDriver :: getDefaultCameraInfo ( int var , int var , double var )	sensor_msgs :: msg :: CameraInfo :: SharedPtr AstraDriver :: getDefaultCameraInfo ( int var , int var , double var )
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( )	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( )
int var ; sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> var = var	int var ; sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> var = var
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; int var ; var -> var = var	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; int var ; var -> var = var
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> D . resize ( 5 , 0.0 )	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> d . resize ( 5 , 0.0 )
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> distortion_model = sensor_msgs :: distortion_models :: PLUMB_BOB	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> distortion_model = sensor_msgs :: distortion_models :: PLUMB_BOB
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> K . assign ( 0.0 )	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> k . fill ( 0.0 )
int var ; sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> K [ 2 ] = ( var / 2 ) - 0.5	double scaling = ( double ) width / 640 ; sensor_msgs :: msg :: CameraInfo :: SharedPtr info = getIRCameraInfo ( width , height , time ) ; var -> p [ 2 ] -= depth_ir_offset_x_ * var
int var ; sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> K [ 5 ] = ( var * ( 3. / 8. ) ) - 0.5	int var ; sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> k [ 5 ] = ( var * ( 3. / 8. ) ) - 0.5
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> R . assign ( 0.0 )	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> r . fill ( 0.0 )
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> P . assign ( 0.0 )	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> p . fill ( 0.0 )
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> P [ 2 ] = var -> K [ 2 ]	double scaling = ( double ) width / 640 ; sensor_msgs :: msg :: CameraInfo :: SharedPtr info = getIRCameraInfo ( width , height , time ) ; var -> k [ 2 ] -= depth_ir_offset_x_ * var
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> P [ 6 ] = var -> K [ 5 ]	double scaling = ( double ) width / 640 ; sensor_msgs :: msg :: CameraInfo :: SharedPtr info = getIRCameraInfo ( width , height , time ) ; var -> p [ 6 ] -= depth_ir_offset_y_ * var
sensor_msgs :: CameraInfoPtr var = boost :: make_shared < sensor_msgs :: CameraInfo > ( ) ; var -> P [ 10 ] = 1.0	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> p [ 10 ] = 1.0
if ( color_info_manager_ -> isCalibrated ( ) )	sensor_msgs :: msg :: CameraInfo :: SharedPtr var = std :: make_shared < sensor_msgs :: msg :: CameraInfo > ( ) ; var -> binning_y = 0
